,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
753,1200,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
773,1300,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
793,1400,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
813,1500,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
833,1600,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
853,1700,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
873,1800,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,1,0,0,0,0,,
918,1900,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,1,0,0,0,,
938,2000,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,2,0,0,0,0,,
958,2100,30-09-2021,PPSoutheast,15,46917,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,W,1,0,0,0,0,,
400,900,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,10,0,0,0,0,,
418,1000,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,10,0,0,0,0,,
436,1100,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,10,0,0,0,0,,
479,1200,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,10,2,0,0,0,,
497,1300,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,8,1,0,1,0,,
515,1400,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,8,2,0,1,0,,
533,1500,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,8,2,0,1,0,,
551,1600,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,9,0,0,1,0,,
569,1700,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,9,2,0,1,0,,
587,1800,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,11,1,0,1,0,,
605,1900,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,12,1,0,0,0,,
623,2000,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,12,1,0,0,0,,
641,2100,30-09-2021,PPNorth,,54449,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,W,13,0,0,0,0,,
408,900,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,9,0,0,0,0,,
426,1000,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,10,1,0,1,0,,
444,1100,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,0,0,,
487,1200,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,13,1,0,0,0,,
505,1300,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,0,0,,
523,1400,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,12,0,0,0,0,,
541,1500,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,10,1,0,0,0,,
559,1600,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,0,0,,
577,1700,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,0,0,,
595,1800,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,12,1,0,0,0,,
613,1900,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,0,0,0,0,,
631,2000,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,0,0,,
649,2100,30-09-2021,PPNorth,,54450,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,E,12,1,0,0,0,,
414,900,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,almost all parking and sidewalk closed due to construction,https://idax.blob.core.windows.net/images/276abda2-9238-44e3-aacd-e1b9d3d44c18-mobile.jpg
432,1000,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,almost all parking and sidewalk closed for construction.,
450,1100,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,almost all parking and sidewalk closed for construction.,
493,1200,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,most of the street is closed for construction.,
511,1300,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,most of the street is closed due to construction.,
529,1400,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,most of the street is blocked off for construction,
547,1500,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,0,0,0,0,0,most off the street is blocked off by construction.,
565,1600,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,0,0,0,0,0,most of this side of the street is closed for construction.,
